Pclass,Age,SibSp,Parch,Fare,FamilySize,TicketGroup,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,FamilyCategory_Large,FamilyCategory_Small,AgeGroup_Teenager,AgeGroup_Adult,AgeGroup_Elderly
3,-0.5405860727931737,0.481287771858981,-0.444999501816175,-0.5032910637405889,0.07335229062787217,-0.6191736503203585,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,0.6498074023082314,0.481287771858981,-0.444999501816175,0.7347436506052941,0.07335229062787217,-0.05710824930139227,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
3,-0.24298770401782244,-0.47908676070718687,-0.444999501816175,-0.4902404567566684,-0.5583460543187373,-0.6191736503203585,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0.426608625726718,0.481287771858981,-0.444999501816175,0.38318349953756076,0.07335229062787217,-0.05710824930139227,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
3,0.426608625726718,-0.47908676070718687,-0.444999501816175,-0.48782367768557205,-0.5583460543187373,-0.6191736503203585,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,-0.24298770401782244,-0.47908676070718687,-0.444999501816175,-0.47992951052774285,-0.5583460543187373,-0.6191736503203585,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1.8402008774096366,-0.47908676070718687,-0.444999501816175,0.35925738673370655,-0.5583460543187373,-0.05710824930139227,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,-2.02857791666993,2.4020368369913165,0.7107630931786129,-0.23599529847733,1.9684473254677004,1.6290879537555065,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,-0.16858811182398462,-0.47908676070718687,1.8665256881734007,-0.4282104384062805,0.7050506355744817,0.5049571517175739,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2,-1.1357828103438763,0.481287771858981,-0.444999501816175,-0.062068409135180025,0.07335229062787217,-0.05710824930139227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
